Nom_Intersection,Longitude,Latitude,total
32 e Avenue / Sherbrooke Est,-73.528495,45.65613,17817
Armand-Chaput / Henri-Bourassa Est,-73.569968,45.491424,13634
Guy / Saint-Jacques,-73.622232,45.439454,12077
Lapierre / Newman,-73.632245,45.602537,23417
Henri-Bourassa / Sainte-Gertrude,-73.628985,45.442493,21600
rue Cordner / rue Lapierre,-73.499624,45.668448,14525
La Rousselière / Montigny,-73.599284,45.427252,6068
Bishop Power / Centrale,-73.887953,45.46632,7072
boulevard Gouin / rue des Cageux,-73.895623,45.463671,3588
boulevard Gouin / avenue du Château-Pierrefonds,-73.620162,45.600438,4238
avenue Cantin / rue de Castille,-73.838405,45.500597,6603
Fredmir / Pierrefonds,-73.609547,45.563796,16435
Jarry / Saint-Michel,-73.692241,45.546006,36150
rue De Salaberry / boulevard Gouin,-73.687037,45.540527,6314
avenue du Bois-de-Boulogne / rue Dudemaine,-73.630739,45.591703,6087
Amiens d' / Armand-Lavergne,-73.634395,45.59514,6149
Armand-Lavergne / Charleroi de,-73.710312,45.492347,7911
Bégin / Côte-Vertu,-73.729651,45.498335,22699
rue Dobrin / boulevard Thimens int. Est,-73.730219,45.497888,3919
rue Dobrin / boulevard Thimens int. Ouest,-73.581505,45.62527,5534
Armand-Bombardier / Henri-Bourassa Est/Ray-Lawson,-73.593967,45.557359,36494
Bélanger / Saint-Michel,-73.590087,45.556195,33453
Saint-Michel / Saint-Zotique,-73.562297,45.585614,30269
Beaubien / Carignan/Saint-Zotique,-73.569113,45.581642,10560
Lacordaire / Saint-Zotique,-73.608703,45.596599,19637
Couture / Lacordaire,-73.597024,45.587432,25486
Lacordaire / Robert,-73.604961,45.584407,29706
Robert / Viau,-73.60053,45.579037,16630
Jean-Rivard / Viau,-73.686417,45.439867,14325
rue Saint-Antoine / avenue 25e,-73.657135,45.533392,6554
Acadie / Chabanel,-73.648699,45.592369,31295
boulevard Gouin / boulevard Saint-Vital,-73.84011,45.511091,5639
rue Brook / rue Perron,-73.846746,45.509389,1317
rue Huntington / avenue de Versailles,-73.632907,45.610287,1356
Léger / Salk,-73.698483,45.4395,13353
rue Saint-Antoine / rue Victoria,-73.688864,45.537905,524
Acadie / Dudemaine,-73.705792,45.523056,16861
Grenet / Henri-bourassa,-73.741254,45.504985,26073
Henri-Bourassa / Thimens int Ouest,-73.567801,45.576236,18895
Assomption / Beaubien,-73.572272,45.571139,15344
Beaubien / Viau,-73.559928,45.578589,21094
Lacordaire / Rosemont,-73.648121,45.461046,24805
avenue Doherty / avenue Fielding int Sud,-73.635131,45.471128,2308
avenue de Kensington / avenue Somerled,-73.62491,45.473279,8639
avenue de Melrose / avenue de Monkland,-73.632883,45.469246,11152
avenue Madison / rue de Terrebonne,-73.623207,45.468509,5110
avenue Hingston / avenue Notre-Dame-de-Grâce,-73.635131,45.471128,4108
avenue de Kensington / avenue Somerled,-73.640008,45.471671,7992
avenue West Hill / avenue Fielding,-73.62182,45.487285,9380
avenue Victoria / chemin Mira,-73.62491,45.473279,8098
avenue de Melrose / avenue de Monkland,-73.632883,45.469246,10720
avenue Madison / rue de Terrebonne,-73.596805,45.468195,4380
Notre-Dame / 5440 Centre Gadbois,-73.590821,45.470543,3268
Notre-Dame / Saint-Rémi,-73.563494,45.536839,42699
Iberville / Rachel,-73.567954,45.532162,13269
Bordeaux / Rachel,-73.672387,45.511553,9309
Collège / Sainte-Croix,-73.555122,45.548876,12010
Chambly / Sherbrooke,-73.554706,45.553105,12750
Charlemagne / Sherbrooke,-73.558619,45.541062,13726
